tiempo,a_x,a_y,a_z,a_mod
3.694999999999999840e+00,-9.184513393446568086e-02,1.416896881868442981e-01,9.798545223650323877e+00,9.799999999810536266e+00
3.729999999999999982e+00,-9.184513389459519894e-02,1.416896882099984989e-01,9.798545223668124748e+00,9.799999999828296282e+00
3.765000000000000124e+00,-9.184513063271092237e-02,1.416896869873613130e-01,9.798545226184906198e+00,9.800000002296457069e+00
3.794999999999999929e+00,-9.184513383184490787e-02,1.416896882600119367e-01,9.798545223685799499e+00,9.799999999846102483e+00
3.830000000000000071e+00,-9.184513375544814395e-02,1.416896882649675282e-01,9.798545223732340048e+00,9.799999999891991109e+00
3.859999999999999876e+00,-9.184514185549907950e-02,1.416896914374510541e-01,9.798545217420151943e+00,9.799999993702520840e+00
3.895000000000000018e+00,-9.184512983403671227e-02,1.416896868196043657e-01,9.798545226736397495e+00,9.800000002837954582e+00
3.930000000000000160e+00,-9.184513046272542447e-02,1.416896870996817714e-01,9.798545226229883554e+00,9.800000002341457517e+00
3.959999999999999964e+00,-9.184514175700415894e-02,1.416896915035282534e-01,9.798545217446310573e+00,9.799999993728709669e+00
3.995000000000000107e+00,-9.184513365857764622e-02,1.416896884059185846e-01,9.798545223711553120e+00,9.799999999872337497e+00
4.025000000000000355e+00,-9.184513362828986005e-02,1.416896884243606380e-01,9.798545223717649577e+00,9.799999999878416190e+00
4.059999999999999609e+00,-9.184513748177722259e-02,1.416896899510259322e-01,9.798545220705051406e+00,9.799999996924453782e+00
4.094999999999999751e+00,-9.184513029535670836e-02,1.416896872025186493e-01,9.798545226265298780e+00,9.800000002376785702e+00
4.125000000000000000e+00,-9.184512539026871980e-02,1.416896853316752247e-01,9.798545230055479394e+00,9.800000006093384286e+00
4.160000000000000142e+00,-9.184513348671335953e-02,1.416896885041958043e-01,9.798545223741106369e+00,9.799999999901697123e+00
4.190000000000000391e+00,-9.184513019697844449e-02,1.416896872571589416e-01,9.798545226279758324e+00,9.800000002391110243e+00
4.224999999999999645e+00,-9.184513016139092545e-02,1.416896872771903071e-01,9.798545226285163778e+00,9.800000002396471288e+00
4.259999999999999787e+00,-9.184513331146955395e-02,1.416896885280972684e-01,9.798545223817130889e+00,9.799999999976412468e+00
4.290000000000000036e+00,-9.184514141142618993e-02,1.416896916961622177e-01,9.798545217499746940e+00,9.799999993781684182e+00
4.325000000000000178e+00,-9.184513394408262699e-02,1.416896888364340690e-01,9.798545223274878424e+00,9.799999999444628074e+00
4.355000000000000426e+00,-9.184513717449965808e-02,1.416896901170283385e-01,9.798545220743090312e+00,9.799999996962005966e+00
4.389999999999999680e+00,-9.184512511936090973e-02,1.416896854774928050e-01,9.798545230086364910e+00,9.800000006123834595e+00
4.424999999999999822e+00,-9.184513644511294039e-02,1.416896898995087528e-01,9.798545221260193117e+00,9.799999997469051038e+00
4.455000000000000071e+00,-9.184513707778677039e-02,1.416896901702262290e-01,9.798545220753002383e+00,9.799999996971779481e+00
4.490000000000000213e+00,-9.184513307413154359e-02,1.416896886496746555e-01,9.798545223837610507e+00,9.799999999996423128e+00
4.519999999999999574e+00,-9.184514118054304399e-02,1.416896918174574416e-01,9.798545217518981332e+00,9.799999993800504683e+00
4.554999999999999716e+00,-9.184513300855982887e-02,1.416896886821326085e-01,9.798545223840056551e+00,9.799999999998723510e+00
4.589999999999999858e+00,-9.184514110643561546e-02,1.416896918519013615e-01,9.798545217521736461e+00,9.799999993803062637e+00
4.620000000000000107e+00,-9.184513715287007107e-02,1.416896903458731427e-01,9.798545220573950942e+00,9.799999996795998314e+00
4.655000000000000249e+00,-9.184513620816034396e-02,1.416896900162035178e-01,9.798545221274800099e+00,9.799999997483121561e+00
4.684999999999999609e+00,-9.184512902310207338e-02,1.416896872584598177e-01,9.798545226835585709e+00,9.800000002935872701e+00
4.719999999999999751e+00,-9.184512477565259791e-02,1.416896856442114438e-01,9.798545230107084336e+00,9.800000006143740450e+00
4.754999999999999893e+00,-9.184513701413650477e-02,1.416896904126774825e-01,9.798545220581807769e+00,9.799999996803519409e+00
4.785000000000000142e+00,-9.184512891997512196e-02,1.416896873073404117e-01,9.798545226840156275e+00,9.800000002940182142e+00
4.820000000000000284e+00,-9.184512467655847612e-02,1.416896856933336502e-01,9.798545230111534110e+00,9.800000006147969955e+00
4.849999999999999645e+00,-9.184512464193031467e-02,1.416896857071530680e-01,9.798545230112539528e+00,9.800000006148851028e+00
4.884999999999999787e+00,-9.184512881732481704e-02,1.416896873555402447e-01,9.798545226844000311e+00,9.800000002943761501e+00
4.919999999999999929e+00,-9.184513683931876116e-02,1.416896904922013145e-01,9.798545220588016136e+00,9.799999996809237501e+00
4.950000000000000178e+00,-9.184512454610499477e-02,1.416896857554161004e-01,9.798545230115459859e+00,9.800000006151570631e+00
4.985000000000000320e+00,-9.184512871765893038e-02,1.416896874032095854e-01,9.798545226847316769e+00,9.800000002946832822e+00
5.014999999999999680e+00,-9.184512770648389779e-02,1.416896870378218931e-01,9.798545227609309904e+00,9.800000003693952522e+00
5.049999999999999822e+00,-9.184513646784983609e-02,1.416896904620745801e-01,9.798545220780026099e+00,9.799999996997302176e+00
5.084999999999999964e+00,-9.184513576873463980e-02,1.416896902235854627e-01,9.798545221292590313e+00,9.799999997499790894e+00
5.115000000000000213e+00,-9.184514056495364509e-02,1.416896921064442205e-01,9.798545217544292640e+00,9.799999993824220823e+00
5.150000000000000355e+00,-9.184513660999643614e-02,1.416896906016768543e-01,9.798545220594453653e+00,9.799999996815108361e+00
5.179999999999999716e+00,-9.184513633178122138e-02,1.416896905225462078e-01,9.798545220782955312e+00,9.799999996999829932e+00
5.214999999999999858e+00,-9.184513240519685817e-02,1.416896890332014491e-01,9.798545223802758386e+00,9.799999999960851582e+00
5.250000000000000000e+00,-9.184513650765772919e-02,1.416896906480920870e-01,9.798545220597208782e+00,9.799999996817573944e+00
5.280000000000000249e+00,-9.184512908007221033e-02,1.416896877992407933e-01,9.798545226339205882e+00,9.800000002447919911e+00
5.315000000000000391e+00,-9.184513161388510594e-02,1.416896888101813468e-01,9.798545224346245419e+00,9.800000000493618302e+00
5.344999999999999751e+00,-9.184513615969429334e-02,1.416896905994822764e-01,9.798545220785781495e+00,9.799999997002155183e+00
5.379999999999999893e+00,-9.184513216194095664e-02,1.416896890773830242e-01,9.798545223869064458e+00,9.800000000025507418e+00
5.415000000000000036e+00,-9.184513700256338731e-02,1.416896909816600103e-01,9.798545220083152429e+00,9.799999996313054851e+00
5.445000000000000284e+00,-9.184513279520951923e-02,1.416896893811307734e-01,9.798545223320992648e+00,9.799999999487843283e+00
5.480000000000000426e+00,-9.184512399824044937e-02,1.416896860034069228e-01,9.798545230127007954e+00,9.800000006161567967e+00
5.509999999999999787e+00,-9.184513141133970882e-02,1.416896888995723136e-01,9.798545224348139016e+00,9.800000000494906160e+00
5.544999999999999929e+00,-9.184512716823377276e-02,1.416896872847248634e-01,9.798545227618964404e+00,9.800000003702130869e+00
5.580000000000000071e+00,-9.184512877121993324e-02,1.416896879380060703e-01,9.798545226343467363e+00,9.800000002451291437e+00
5.610000000000000320e+00,-9.184514006347875570e-02,1.416896923361988803e-01,9.798545217552106834e+00,9.799999993830656564e+00
5.644999999999999574e+00,-9.184513189779934528e-02,1.416896892002776631e-01,9.798545223872890730e+00,9.800000000028633806e+00
5.674999999999999822e+00,-9.184512867438414385e-02,1.416896879816951504e-01,9.798545226345048320e+00,9.800000002452597059e+00
5.709999999999999964e+00,-9.184513189805706967e-02,1.416896892620014003e-01,9.798545223811794713e+00,9.799999999968441955e+00
5.745000000000000107e+00,-9.184512794113239287e-02,1.416896877574957692e-01,9.798545226862639623e+00,9.800000002959997403e+00
5.775000000000000355e+00,-9.184513572902641698e-02,1.416896907985715770e-01,9.798545220792885146e+00,9.799999997008100650e+00
5.809999999999999609e+00,-9.184513176827747982e-02,1.416896892932983099e-01,9.798545223844037366e+00,9.799999999999915445e+00
5.839999999999999858e+00,-9.184513590461237942e-02,1.416896909209154898e-01,9.798545220606667883e+00,9.799999996825325965e+00
5.875000000000000000e+00,-9.184513172891925481e-02,1.416896893375096389e-01,9.798545223813368565e+00,9.799999999969521980e+00
5.910000000000000142e+00,-9.184513976005063973e-02,1.416896924740642660e-01,9.798545217555764353e+00,9.799999993833463208e+00
5.940000000000000391e+00,-9.184513489841712730e-02,1.416896906187844196e-01,9.798545221304125974e+00,9.799999997508882288e+00
5.974999999999999645e+00,-9.184513576635092158e-02,1.416896909824579553e-01,9.798545220607087103e+00,9.799999996825338400e+00
6.004999999999999893e+00,-9.184513639965036225e-02,1.416896912531242225e-01,9.798545220091362751e+00,9.799999996319538553e+00
6.040000000000000036e+00,-9.184513156407737855e-02,1.416896894133944373e-01,9.798545223814265626e+00,9.799999999969971398e+00
6.075000000000000178e+00,-9.184512339922776269e-02,1.416896862770343213e-01,9.798545230135509598e+00,9.800000006168410494e+00
6.105000000000000426e+00,-9.184512336781627817e-02,1.416896862907827126e-01,9.798545230135248474e+00,9.800000006168053446e+00
6.139999999999999680e+00,-9.184512721973940585e-02,1.416896878119133785e-01,9.798545227114995981e+00,9.800000003206342569e+00
6.169999999999999929e+00,-9.184513139963956796e-02,1.416896894594627254e-01,9.798545223840267937e+00,9.799999999995094413e+00
6.205000000000000071e+00,-9.184513139539797477e-02,1.416896894884054903e-01,9.798545223815114724e+00,9.799999999970324893e+00
6.240000000000000213e+00,-9.184513135951614948e-02,1.416896895039995996e-01,9.798545223815198213e+00,9.799999999970298248e+00
6.269999999999999574e+00,-9.184512806828891429e-02,1.416896882536813618e-01,9.798545226350745097e+00,9.800000002456544124e+00
6.304999999999999716e+00,-9.184513126513965675e-02,1.416896895211258445e-01,9.798545223841454543e+00,9.799999999995913313e+00
6.334999999999999964e+00,-9.184513605906144407e-02,1.416896914028688281e-01,9.798545220093156871e+00,9.799999996320305939e+00
6.370000000000000107e+00,-9.184512309628933835e-02,1.416896864107587695e-01,9.798545230135635720e+00,9.800000006167630673e+00
6.405000000000000249e+00,-9.184513049814392593e-02,1.416896893087294107e-01,9.798545224355747152e+00,9.800000000499869302e+00
6.434999999999999609e+00,-9.184512626252773482e-02,1.416896876913059933e-01,9.798545227625750087e+00,9.800000003706307083e+00
6.469999999999999751e+00,-9.184513918780258523e-02,1.416896927285251628e-01,9.798545217558844556e+00,9.799999993834859424e+00
6.500000000000000000e+00,-9.184513109520368868e-02,1.416896896222623881e-01,9.798545223816850225e+00,9.799999999971181097e+00
6.535000000000000142e+00,-9.184513105902700203e-02,1.416896896381558690e-01,9.798545223818084793e+00,9.799999999972307307e+00
6.570000000000000284e+00,-9.184513908683424044e-02,1.416896927746482959e-01,9.798545217561196452e+00,9.799999993836930656e+00
6.599999999999999645e+00,-9.184513488662338077e-02,1.416896911742622500e-01,9.798545220798782651e+00,9.799999997011534347e+00
6.634999999999999787e+00,-9.184513509788476415e-02,1.416896912834864908e-01,9.798545220612957962e+00,9.799999996829296123e+00
6.665000000000000036e+00,-9.184513089451531997e-02,1.416896896828716279e-01,9.798545223851057528e+00,9.800000000004379430e+00
6.700000000000000178e+00,-9.184513086198844989e-02,1.416896896990883226e-01,9.798545223851800046e+00,9.800000000005050893e+00
6.735000000000000320e+00,-9.184513891569054400e-02,1.416896928503642850e-01,9.798545217564226917e+00,9.799999993839451307e+00
6.764999999999999680e+00,-9.184512658681275032e-02,1.416896880969399086e-01,9.798545227120799339e+00,9.800000003210334043e+00
6.799999999999999822e+00,-9.184512655028043149e-02,1.416896881129096897e-01,9.798545227120577294e+00,9.800000003210000088e+00
6.830000000000000071e+00,-9.184513068777790112e-02,1.416896897403037703e-01,9.798545223882317856e+00,9.800000000034527758e+00
